City;Area;Region;Branch;Branch Mapping;Validation
KOTA KUPANG;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
KOTA LANGSA;AREA 1;01.SUMBAGUT;WESTERN MEDAN;WESTERN MEDAN;TRUE
KOTA LHOKSEUMAWE;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
KOTA LUBUKLINGGAU;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
KOTA MADIUN;AREA 3;09.JATIM;MADIUN;MADIUN;TRUE
KOTA MAGELANG;AREA 3;08.JATENG-DIY;YOGYAKARTA;YOGYAKARTA;TRUE
KOTA MAKASSAR;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
KOTA MALANG;AREA 3;09.JATIM;MALANG;MALANG;TRUE
KOTA MANADO;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
KOTA MATARAM;AREA 3;10.BALI NUSRA;MATARAM;MATARAM;TRUE
KOTA MEDAN;AREA 1;01.SUMBAGUT;CENTRAL MEDAN;CENTRAL MEDAN;TRUE
KOTA METRO;AREA 1;03.SUMBAGSEL;LAMPUNG;LAMPUNG;TRUE
KOTA MOJOKERTO;AREA 3;09.JATIM;SIDOARJO;SIDOARJO;TRUE
KOTA PADANG;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
KOTA PADANG PANJANG;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
KOTA PADANGSIDIMPUAN;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
KOTA PAGAR ALAM;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
KOTA PALANGKARAYA;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
KOTA PALEMBANG;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
KOTA PALOPO;AREA 4;12.SULAWESI;PARE-PARE;PARE-PARE;TRUE
KOTA PALU;AREA 4;12.SULAWESI;PALU;PALU;TRUE
KOTA PANGKAL PINANG;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
KOTA PARE-PARE;AREA 4;12.SULAWESI;PARE-PARE;PARE-PARE;TRUE
KOTA PARIAMAN;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
KOTA PASURUAN;AREA 3;09.JATIM;SIDOARJO;SIDOARJO;TRUE
KOTA PAYAKUMBUH;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
KOTA PEKALONGAN;AREA 3;08.JATENG-DIY;PEKALONGAN;PEKALONGAN;TRUE
KOTA PEKANBARU;AREA 1;02.SUMBAGTENG;PEKANBARU;PEKANBARU;TRUE
