id;AREA;REGIONAL;BRANCH;CLUSTER;CITY
430;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;BUTON TENGAH
431;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;BONE BOLANGO
432;PAMASUKA;MALUKU DAN PAPUA;AMBON;KEPULAUAN SERAM;MALUKU TENGAH
433;PAMASUKA;MALUKU DAN PAPUA;AMBON;AMBON NAMLEA;BURU
434;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;BOLAANG MONGONDOW TIMUR
435;PAMASUKA;SULAWESI;MAKASSAR;BARRU MAROS;SOPPENG
436;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;WAKATOBI
437;PAMASUKA;SULAWESI;MANADO;MINAHASA TALAUD;SIAU TAGULANDANG BIARO
438;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;BANGGAI KEPULAUAN
439;PAMASUKA;SULAWESI;MAKASSAR;GOWA;JENEPONTO
440;PAMASUKA;SULAWESI;PARE-PARE;PARE MAJENE;PINRANG
441;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;MUNA
442;PAMASUKA;SULAWESI;PARE-PARE;PARE MAJENE;POLEWALI MANDAR
443;PAMASUKA;SULAWESI;PALU;PALU MAMUJU;KOTA PALU
444;PAMASUKA;SULAWESI;MAKASSAR;BONE BULUKUMBA;SINJAI
445;PAMASUKA;SULAWESI;MAKASSAR;GOWA;KOTA MAKASSAR
446;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;BOLAANG MONGONDOW SELATAN
447;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;BOALEMO
448;PAMASUKA;MALUKU DAN PAPUA;AMBON;AMBON NAMLEA;KOTA AMBON
449;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;KOTA KOTAMOBAGU
450;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;MUNA BARAT
451;PAMASUKA;SULAWESI;MAKASSAR;BARRU MAROS;BARRU
452;JAWA - BALI - NUSRA;JATIM;LAMONGAN;LAMONGAN;NGAWI
453;JAWA - BALI - NUSRA;JATIM;LAMONGAN;LAMONGAN;TUBAN
454;JABOTABEK & JABAR;WESTERN JABOTABEK;SERANG;SERANG;LEBAK
455;JABOTABEK & JABAR;WESTERN JABOTABEK;SERANG;SERANG;SERANG
456;SUMATERA;SUMBAGUT;WESTERN MEDAN;TAMIANG;ACEH TAMIANG
457;JAWA - BALI - NUSRA;JATIM;LAMONGAN;LAMONGAN;GRESIK
458;JAWA - BALI - NUSRA;JATIM;SURABAYA;MADURA;SAMPANG
459;JAWA - BALI - NUSRA;JATIM;MALANG;MALANG;KOTA MALANG
460;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;TAPANULI;NIAS
461;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;SIDEMPUAN;TAPANULI SELATAN
462;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;SIANTAR;TOBA SAMOSIR
463;SUMATERA;SUMBAGUT;BANDA ACEH;BIREUEN;ACEH UTARA
464;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;DOMPU
465;JAWA - BALI - NUSRA;JATIM;JEMBER;BANYUWANGI;BANYUWANGI
466;JAWA - BALI - NUSRA;JATIM;SIDOARJO;NEW SIDOARJO;SIDOARJO
467;JAWA - BALI - NUSRA;BALI NUSRA;DENPASAR;BALI TIMUR;KARANG ASEM
468;JAWA - BALI - NUSRA;JATIM;JEMBER;KOTA PROBOLINGGO;PROBOLINGGO
469;JAWA - BALI - NUSRA;JATIM;MADIUN;MANDIRI;JOMBANG
470;JAWA - BALI - NUSRA;JATIM;LAMONGAN;LAMONGAN;LAMONGAN
471;JAWA - BALI - NUSRA;BALI NUSRA;DENPASAR;BALI BARAT;BULELENG
472;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;BIMA
473;JAWA - BALI - NUSRA;JATIM;MADIUN;PONOROGO;MAGETAN
474;JAWA - BALI - NUSRA;JATIM;MADIUN;MANDIRI;KOTA KEDIRI
475;JAWA - BALI - NUSRA;JATIM;JEMBER;BANYUWANGI;BONDOWOSO
476;JABOTABEK & JABAR;WESTERN JABOTABEK;SERANG;SERANG;PANDEGLANG
477;JAWA - BALI - NUSRA;JATIM;MADIUN;MANDIRI;NGANJUK
478;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;LOMBOK BARAT
479;JAWA - BALI - NUSRA;BALI NUSRA;DENPASAR;BALI BARAT;TABANAN
480;JAWA - BALI - NUSRA;JATIM;MALANG;TULUNGAGUNG;KOTA BLITAR
481;JAWA - BALI - NUSRA;JATIM;LAMONGAN;LAMONGAN;BOJONEGORO
482;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;KOTA BIMA
483;JAWA - BALI - NUSRA;JATIM;JEMBER;JEMBER;LUMAJANG
484;JAWA - BALI - NUSRA;JATIM;SURABAYA;MADURA;BANGKALAN
485;JABOTABEK & JABAR;WESTERN JABOTABEK;SERANG;KAB TANGERANG;TANGERANG
486;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;SUMBA BARAT
487;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;SUMBA TIMUR
488;SUMATERA;SUMBAGUT;BANDA ACEH;MEULABOH;ACEH SINGKIL
489;JAWA - BALI - NUSRA;BALI NUSRA;DENPASAR;BALI BARAT;JEMBRANA
490;JAWA - BALI - NUSRA;JATIM;SURABAYA;MADURA;SUMENEP
491;SUMATERA;SUMBAGUT;WESTERN MEDAN;TAMIANG;LANGKAT
492;SUMATERA;SUMBAGUT;BANDA ACEH;MEULABOH;SIMEULUE
493;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;KARO;SIMALUNGUN
494;JAWA - BALI - NUSRA;BALI NUSRA;DENPASAR;BALI TIMUR;KOTA DENPASAR
495;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;KOTA MATARAM
496;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;SUMBAWA BARAT
497;JAWA - BALI - NUSRA;JATIM;SIDOARJO;NEW SIDOARJO;MOJOKERTO
498;SUMATERA;SUMBAGUT;BANDA ACEH;MEULABOH;KOTA SUBULUSSALAM
499;JAWA - BALI - NUSRA;JATIM;SIDOARJO;KOTA PASURUAN;PASURUAN
500;JABOTABEK & JABAR;WESTERN JABOTABEK;SERANG;SERANG;KOTA SERANG
501;JABOTABEK & JABAR;WESTERN JABOTABEK;TANGERANG;TANGSEL;KOTA TANGERANG SELATAN
502;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;LOMBOK UTARA
503;JABOTABEK & JABAR;WESTERN JABOTABEK;TANGERANG;TANGSEL;TANGERANG
504;JAWA - BALI - NUSRA;JATENG-DIY;SURAKARTA;SURAKARTA;BOYOLALI
505;JAWA - BALI - NUSRA;JATENG-DIY;SURAKARTA;SURAKARTA;SUKOHARJO
506;JAWA - BALI - NUSRA;JATENG-DIY;SURAKARTA;SRAGEN;SRAGEN
507;JAWA - BALI - NUSRA;JATENG-DIY;SEMARANG;PATI;KUDUS
508;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;LOMBOK TENGAH
509;JAWA - BALI - NUSRA;JATIM;JEMBER;JEMBER;JEMBER
510;JAWA - BALI - NUSRA;JATIM;JEMBER;BANYUWANGI;SITUBONDO
511;JAWA - BALI - NUSRA;JATIM;MADIUN;MANDIRI;MADIUN
512;JABOTABEK & JABAR;WESTERN JABOTABEK;TANGERANG;KOTA TANGERANG;KOTA TANGERANG
513;JABOTABEK & JABAR;WESTERN JABOTABEK;SERANG;SERANG;KOTA CILEGON
514;JAWA - BALI - NUSRA;JATENG-DIY;SEMARANG;DEMAK;SEMARANG
515;JAWA - BALI - NUSRA;JATENG-DIY;PEKALONGAN;PANTURA;PEMALANG
516;JAWA - BALI - NUSRA;JATENG-DIY;YOGYAKARTA;YOGYAKARTA;SLEMAN
517;JAWA - BALI - NUSRA;JATENG-DIY;SURAKARTA;SURAKARTA;KOTA SURAKARTA
518;JAWA - BALI - NUSRA;JATIM;MALANG;TULUNGAGUNG;TRENGGALEK
519;JAWA - BALI - NUSRA;JATENG-DIY;SEMARANG;DEMAK;KOTA SALATIGA
520;JAWA - BALI - NUSRA;JATENG-DIY;YOGYAKARTA;YOGYAKARTA;KOTA YOGYAKARTA
521;JAWA - BALI - NUSRA;JATIM;SURABAYA;MADURA;PAMEKASAN
522;JAWA - BALI - NUSRA;JATIM;SURABAYA;KOTA SURABAYA;KOTA SURABAYA
